fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-08-24,3940,1371,3274,1133,0.3479695431472081,0.3460598656078192
2020-08-25,3644,1322,2981,1066,0.362788144895719,0.3575981214357598
2020-08-26,5137,1629,4551,1443,0.317111154370255,0.3170731707317073
2020-08-27,5142,1441,4529,1250,0.28024115130299493,0.27599911680282624
2020-08-28,5197,1383,4585,1212,0.2661150663844526,0.264340239912759
2020-08-29,2111,540,1826,481,0.25580293699668405,0.2634173055859803
2020-08-30,920,279,721,240,0.3032608695652174,0.332871012482663
2020-08-31,4158,1386,3476,1105,0.3333333333333333,0.31789413118527043
2020-09-01,5164,1773,4559,1530,0.3433384972889233,0.33559991226146085
2020-09-02,5372,1759,4704,1508,0.3274385703648548,0.320578231292517
2020-09-03,5520,1543,4759,1323,0.27952898550724636,0.27799957974364364
2020-09-04,5319,1479,4697,1266,0.27805978567399886,0.269533744943581
2020-09-05,1999,547,1738,465,0.2736368184092046,0.2675489067894131
2020-09-06,1145,335,952,285,0.2925764192139738,0.29936974789915966
2020-09-07,4018,1250,3381,1037,0.31110004977600797,0.3067139899438036
2020-09-08,4999,1621,4385,1410,0.3242648529705941,0.3215507411630559
2020-09-09,5107,1450,4451,1272,0.2839240258468768,0.28577847674679846
2020-09-10,5514,1379,4804,1204,0.2500906782734857,0.25062447960033307
2020-09-11,4918,1273,4357,1134,0.2588450589670598,0.2602708285517558
2020-09-12,2126,672,1900,609,0.3160865475070555,0.32052631578947366
2020-09-13,706,232,575,194,0.3286118980169972,0.3373913043478261
2020-09-14,4185,1253,3537,1040,0.2994026284348865,0.29403449250777497
2020-09-15,3169,940,2720,810,0.2966235405490691,0.2977941176470588
2020-09-16,578,194,479,161,0.3356401384083045,0.33611691022964507
2020-09-17,4446,1495,3827,1277,0.3362573099415205,0.3336817350405017
2020-09-18,4536,1380,3970,1202,0.30423280423280424,0.30277078085642317
2020-09-19,1913,614,1672,552,0.32096184004181916,0.33014354066985646
2020-09-20,795,285,657,243,0.3584905660377358,0.3698630136986301
2020-09-21,3604,1197,3097,1017,0.3321309655937847,0.3283823054568938
2020-09-22,4575,1447,3996,1287,0.3162841530054645,0.32207207207207206
2020-09-23,4404,1416,3781,1215,0.3215258855585831,0.3213435599047871
